meaning	to be	there is/to have	uncertainty, to be	uncertainty, there is/to have	to be	there is/to have	uncertainty, to be	uncertainty, to be	uncertainty, there is/to have	uncertainty, there is/to have	there is/to have	to be	past simple	past simple	action fully completed	description of having already experienced something	description of having already experienced something	uncertainty, past simple	uncertainty, action fully completed	past simple	past simple	action fully completed	description of having already experienced something	uncertainty, past simple	uncertainty, past simple	uncertainty, past simple	uncertainty, action fully completed	uncertainty, action fully completed	uncertainty, action fully completed	description of having already experienced something	action fully completed	action fully completed	past simple	present simple	ongoing action	uncertainty	conditional	present simple	ongoing action	uncertainty	uncertainty	conditional	future simple	plan to do	resolution to do (also "not yet done")	future simple	plan to do	resolution to do (also "not yet done")	uncertainty	uncertainty	conditional
affirmative	ཡིན།	ཡོད།	ཡིན་ས་ཡོད།	ཡོད་ས་ཡོད།	རེད།	ཡོད་རེད།	ཡིན་ས་རེད།	ཡིན་བགྱི་རེད།	ཡོད་བགྱི་རེད།	ཡོད་ས་རེད།	འདུག	རེད་འདུག	-ཡིན།	-པ་ཡིན།	-ཡོད།*	-མྱོང་།	-མྱོང་ཡོད།	-ཡིན་ས་ཡོད།	-ཡོད་ས་ཡོད།	-རེད།	-པ་རེད།	-ཡོད་རེད།	-མྱོང་ཡོད་རེད།	-ཡིན་ས་རེད།	-པ་ཡིན་ས་རེད། 	-ཡིན་བགྱི་རེད།	-ཡོད་ས་རེད།	-པ་ཡོད་ས་རེད། 	-ཡོད་བགྱི་རེད།	-མྱོང་འདུག	-འདུག	-སོང་།	-བྱུང་།	-གི་ཡོད།	-བསྡད་ཡོད།	-གི་ཡོད་ས་ཡོད།	-ས་ཡོད།	-གི་ཡོད་རེད།	-བསྡད་ཡོད་རེད།	-གི་ཡོད་ས་རེད།	-གི་ཡོད་བགྱི་རེད།	-ས་འདུག	-གི་ཡིན།	-ཡ་ཡིན།	-རྒྱུ་ཡིན།	-གི་རེད།	-ཡ་རེད།	-རྒྱུ་རེད།	-གི་ཡིན་ས་རེད།	-གི་ཡིན་བགྱི་རེད།	-ས་རེད།
negative	མིན།	མེད།	ཡིན་ས་མེད།	ཡོད་ས་མེད།	མ་རེད།	ཡོད་མ་རེད།	ཡིན་བགྱི་མ་རེད།	ཡིན་ས་མ་རེད།	ཡོད་བགྱི་མ་རེད།	ཡོད་ས་མ་རེད།	མི་འདུག	རེད་མི་འདུག	→ -མེད།	→ -མེད།	-མེད།	-མ་མྱོང་།	-མྱོང་མེད།	→ -ཡོད་ས་མེད།	-ཡོད་ས་མེད།	→ -ཡོད་མ་རེད།	→ -ཡོད་མ་རེད།	-ཡོད་མ་རེད།	-མྱོང་ཡོད་མ་རེད།	-ཡིན་ས་མ་རེད།	-པ་ཡིན་ས་མ་རེད།	-ཡིན་བགྱི་མ་རེད།	-ཡོད་ས་མ་རེད།	-པ་ཡོད་ས་མ་རེད།	-ཡོད་བགྱི་མ་རེད།	-མྱོང་མི་འདུག	-མི་འདུག	-མ་སོང་།	-མ་བྱུང་།	-གི་མེད།	-བསྡད་མེད།	→ -གི་ཡོད་ས་མ་རེད།	-ས་མེད།	-གི་ཡོད་མ་རེད།	-བསྡད་ཡོད་མ་རེད།	-གི་ཡོད་ས་མ་རེད།	-གི་ཡོད་བགྱི་མ་རེད།	-ས་མི་འདུག	→ -གི་མེད།* / -གི་མིན།	→ -ཡ་མ་རེད།* / -ཡ་མིན།	-རྒྱུ་མིན།	-གི་མ་རེད།	-ཡ་མ་རེད།	-རྒྱུ་མ་རེད།	-གི་ཡིན་ས་མ་རེད།	-གི་ཡིན་བགྱི་མ་རེད།	-ས་མ་རེད།
Category	Verb	Verb	Verb	Verb	Verb	Verb	Verb	Verb	Verb	Verb	Verb	Verb	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Past	Present	Present	Present	Present	Present	Present	Present	Present	Conditional	Future	Future	Future	Future	Future	Future	Future	Future	Conditional
modality	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	newly experienced fact (གཞན།)	general situation +  newly personally experienced	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	newly experienced fact (གཞན།)	newly experienced fact (གཞན།)	recently experienced an action being done by others	general situation happened  towards side of speaker	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	newly experienced fact (གཞན།)	personal experience (བདག)	personal experience (བདག)	personal experience (བདག)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)	general situations (གཞན།)
